number,date_time,new_cases,new_deaths,recovered,active,deaths,suspicious,accumulated,discarted,beni,chuquisaca,cochabamba,la_paz,pando,santa_cruz,tarija
N° 294,Domingo 03 de enero de 2021 (20:45),606,HOY +15,133.247,20.213,9.201,1.213,162.661,258.106,,,95,mM,24,307,
N° 330,"Lunes, 08 de febrero de 2021 (20:30)",1.220,HOY +68,169.415,48.908,10.864,2.251,229.187 ©,377.536,,92,35,286,10,477,98
N° 270,Jueves 10 de diciembre de 2020 (21:30),325,HOY +4,125.716,11.661,9.008,942,146.385,226.908,,2,,,,161,14
N° 289,Pl fers eel weld eu e ew ae see rate Sy),1.293,HOY +29,130.910,16.842,9.135,1.186,156.887,250.029,18,58,,,19,651,
N° 272,Sdbado 12 de diciembre de 2020 (21:30},333,HOY +1,126.092,11.924,9.014,841,147.030,229.334,,,,,,218,10
N° 308,Domingo 17 de enero de 2021 (20:45),1.503,HOY +40,143.437,34.110,9.636,3.311,187.183,292.119,,152,8s,535,27,425,
N° 317,Martes 26 de enero de 2021 (21:00),2.390,HOY +54,152.555,42.548,10.105,3.445,_ 205.208,320.601,93,,196,555,19,947,120
N° 279,Sdbado 19 de diciembre de 2020 (21:30),621,HOY +2,127.815,12.920,9.035,947,149.770,237.621,,33,21,n7,,380,
N° 309,Lunes 18 de enero de 2021 (21:00),1.550,HOY +44,144.227,34.826,9.680,3.868,188.733,293.787,94,139,167,,57,674,
N° 322,Domingo 31 de enero de 2021 (20:45),1.438,HOY +49,159.222,47.234,10.379,2.248,216.835,343.770,27,149,8&5,582,12,338,
N° 331,"Martes, 09 de febrero de 2027 (20:45)",1.544,HOY +65,170.972,48.830,10.929,2.488,230.731,382.857,38,91,151,,14,685,105
N° 273,Domingo 13 de diciembre de 2020 (21:30),120,HOY +4,126.221,11.911,3.018,607,147.150 |,229.805,,,,,,,
N° 329,"Domingo, 07 de febrero de 2021 (20:45)",839,HOY +43,168.040,49.131,10.796,1.771,227.967 ©,374.012,14,104,,350,33,n7,
N° 285,Viernes 25 de diciembre de 2020 (21:30),469,HOY +7,129.754,14.753,9.083,798,153.590,245.036,,,3,171,19,136,
N° 277,Jueves 17 de diciembre de 2020 (21:30),451,HOY +2,127.155,12.479,9.031,986,148.665,234.760,,ww,,,2,240,
N° 284,Jueves 24 de diciembre de 2020 (21:30),1.057,HOY +11,129.387,14.658,9.076,1.313,153.121,243.964,,70,66,,ll,474,
N° 293,Sdbado 02 de enero de 2021 (20:30),1.070,HOY +11,133.013,19.856,9.186,1.113,162.055,257.192,,Te,932,,17,426,
N° 296,Martes 05 de enero de 2021 (20:30),1.597,HOY +22,134.503,21.524,9.241,1.659,165.268,262.149,,60,202,292,17,871,
N° 303,Martes 12 de enero de 2021 (20:30},1.473,HOY +39,139.672,27.635,9.454,3.645,176.761,277.599,7,88,173,244,33,588,
N° 290,Miércoles 30 de diciembre de 2020 (20:45),1.485,HOY +14,131.579,17.644,9.149,1.208,158.372,252.105,95,106,122,339,30,669,40
N° 302,Lunes TI de enero de 2021 (21:15},1.392,HOY +39,138.809,27.064,9.415,3.496,175.288 ©,275.507,86,29,219,271,32,551,
N° 318,Miércoles 27 de enero de 202] (21:00),2.866,HOY +62,154.377,43.530,10.167,2.781,208.074,325.984,256,,285,602,17,1213,95
N° 328,"Sdbado, 06 de febrero de 2021 (20:30)",1.218,HOY +66,167.354,49.021,10.753,1.823,227128,371.625,28,69,28,322,33,414,40
